지역코드,아파트,시도명,시군구,법정동,지번,건축년도,거래일,전용면적,층,거래금액
11110,경희궁의아침3단지,서울특별시,종로구,내수동,72,2004.0,2022-01-14,150.48,3,"200,000"
11110,아르젠종로,서울특별시,종로구,연지동,163-3,2015.0,2022-01-11,18.02,10,"20,000"
11110,이화에수풀,서울특별시,종로구,연건동,195-10,2014.0,2022-01-03,16.98,7,"19,500"
11110,이화에수풀,서울특별시,종로구,연건동,195-10,2014.0,2022-01-08,16.98,11,"19,000"
11110,CS타워,서울특별시,종로구,충신동,62-2,2011.0,2022-01-11,22.17,12,"13,500"
11110,아남1,서울특별시,종로구,명륜2가,4,1995.0,2022-01-19,84.9,18,"118,000"
11110,종로아인스빌,서울특별시,종로구,숭인동,1392-1,2013.0,2022-01-06,12.15,12,"10,500"
11110,삼전솔하임4차,서울특별시,종로구,숭인동,318-2,2014.0,2022-01-06,15.09,11,"15,700"
11110,종로센트레빌,서울특별시,종로구,숭인동,2-1,2008.0,2022-01-08,84.92,11,"109,000"
11110,동문타운,서울특별시,종로구,숭인동,181-105,2000.0,2022-01-15,59.56,-1,"54,000"
11110,주숭보아파트,서울특별시,종로구,숭인동,535,2000.0,2022-01-24,59.9,6,"44,750"
11110,삼전솔하임2차,서울특별시,종로구,숭인동,296-19,2012.0,2022-01-25,15.0,7,"10,200"
11110,대성아파트,서울특별시,종로구,행촌동,41-1,1971.0,2022-01-05,19.27,8,"20,000"
11110,대성아파트,서울특별시,종로구,행촌동,41-1,1971.0,2022-01-12,19.27,7,"26,000"
11110,인왕산아이파크,서울특별시,종로구,무악동,60,2008.0,2022-01-02,84.858,16,"139,900"
11140,쌍용남산플래티넘,서울특별시,중구,회현동2가,87,2010.0,2022-01-31,177.0,23,"250,000"
11140,충무,서울특별시,중구,묵정동,11-2,1982.0,2022-01-27,54.18,1,"59,500"
11140,오렌지카운티을지로,서울특별시,중구,오장동,145-1,2020.0,2022-01-01,14.37,14,"25,000"
11140,오렌지카운티을지로,서울특별시,중구,오장동,145-1,2020.0,2022-01-01,14.37,15,"25,000"
11140,오렌지카운티을지로,서울특별시,중구,오장동,145-1,2020.0,2022-01-03,14.37,13,"25,000"
11140,오렌지카운티을지로,서울특별시,중구,오장동,145-1,2020.0,2022-01-21,14.37,14,"25,000"
11140,신당아르브,서울특별시,중구,신당동,160-5,2014.0,2022-01-01,18.08,3,"14,000"
11140,신당역솔하임,서울특별시,중구,신당동,140-23,2016.0,2022-01-04,14.08,19,"16,000"
11140,푸른마을(B),서울특별시,중구,신당동,432-922,2001.0,2022-01-13,59.42,2,"23,400"
11140,스위스빌라,서울특별시,중구,신당동,432-2000,2001.0,2022-01-14,38.53,1,"15,000"
11140,푸른마을(B),서울특별시,중구,신당동,432-922,2001.0,2022-01-26,59.37,3,"20,800"
11140,남산타운,서울특별시,중구,신당동,844,2002.0,2022-01-28,59.94,6,"118,000"
11140,동대문와이즈캐슬,서울특별시,중구,흥인동,119,2014.0,2022-01-10,15.55,13,"15,000"
11140,DUO302,서울특별시,중구,황학동,819,2014.0,2022-01-20,15.97,11,"15,500"
11140,DUO302,서울특별시,중구,황학동,819,2014.0,2022-01-25,15.97,11,"15,500"
11140,한양I-Class,서울특별시,중구,황학동,787,2013.0,2022-01-27,16.37,14,"10,000"
11140,바비엥3,서울특별시,중구,순화동,215,2006.0,2022-01-12,69.29,14,"60,000"
11140,브라운스톤(355-0),서울특별시,중구,중림동,355,2006.0,2022-01-22,139.562,20,"150,000"
11140,서울역센트럴자이,서울특별시,중구,만리동2가,176-1,2017.0,2022-01-17,84.972,4,"170,000"
11170,로얄카운티-3,서울특별시,용산구,원효로1가,17-66,2007.0,2022-01-21,130.93,2,"120,000"
11170,프라임팰리스,서울특별시,용산구,문배동,24-8,2012.0,2022-01-29,13.69,18,"15,500"
11170,시티파크(2단지),서울특별시,용산구,한강로3가,63-387,2007.0,2022-01-02,117.62,22,"249,000"
11170,강촌,서울특별시,용산구,이촌동,402,1998.0,2022-01-05,84.77,8,"210,000"
11170,래미안첼리투스아파트,서울특별시,용산구,이촌동,436,2015.0,2022-01-08,124.02,41,"509,998"
11170,한가람,서울특별시,용산구,이촌동,404,1998.0,2022-01-11,114.96,17,"283,000"
11170,강서,서울특별시,용산구,이촌동,193-5,1972.0,2022-01-14,54.25,4,"118,000"
11170,삼익,서울특별시,용산구,이촌동,300-301,1979.0,2022-01-21,104.86,6,"233,500"
11170,한강맨숀,서울특별시,용산구,이촌동,300-23,1971.0,2022-01-24,120.56,2,"430,000"
11170,로얄맨숀,서울특별시,용산구,이촌동,301-10,1972.0,2022-01-27,186.12,8,"237,500"
11170,한가람,서울특별시,용산구,이촌동,404,1998.0,2022-01-27,59.88,9,"188,300"
11170,청화1,서울특별시,용산구,이태원동,22-2,1982.0,2022-01-13,174.38,8,"290,000"
11170,창덕아파트,서울특별시,용산구,이태원동,252-1,1996.0,2022-01-17,84.75,2,"80,000"
11170,한남힐스테이트,서울특별시,용산구,한남동,807,2003.0,2022-01-19,130.898,1,"220,000"
11200,텐즈힐(1단지),서울특별시,성동구,하왕십리동,1066,2015.0,2022-01-03,129.34,24,"230,000"
11200,청계벽산,서울특별시,성동구,하왕십리동,258,1996.0,2022-01-07,84.94,8,"120,000"
11200,왕십리KCC스위첸,서울특별시,성동구,하왕십리동,1002,2016.0,2022-01-12,59.851,10,"111,000"
11200,상리제나우스,서울특별시,성동구,하왕십리동,966-18,2013.0,2022-01-17,12.84,5,"13,000"
11200,센트라스,서울특별시,성동구,하왕십리동,1070,2016.0,2022-01-19,84.99,22,"184,000"
