"country","product","chipset","inch","app_name","use_month","use_tv_cnt","total_use_count","total_use_hour","monthly_avg_use_count","monthly_avg_use_hour"
"AU","webOSTV 6.0","lm21a","75","app2","2022-12","21875","666597.0","896872.0208333334","24.371496834925534","32.41426766721382"
"KR","webOSTV 6.0","lm21u","55","app2","2022-9","29645","510344.0","694226.3763888889","14.919098991125088","19.98171583670284"
"KR","webOSTV 6.0","o20","55","app4","2022-8","7690","171398.0","227124.47333333333","18.450186340786967","23.849418082278845"
"JP","webOSTV 6.0","o20","55","app1","2022-12","5686","69985.0","71767.52472222222","11.581822971549","11.724194272073266"
"AU","webOSTV 6.0","lm21a","43","app5","2022-8","4721","35920.0","56835.775555555556","6.6283624022662355","9.648812576959154"
"JP","webOSTV 6.0","o20","65","app5","2022-8","1190","11545.0","11378.129166666668","9.050433081866444","8.738075967837078"
"KR","webOSTV 6.0","lm21a","55","app4","2022-12","10948","205791.0","312449.9219444444","15.408915259394494","22.547081723211118"
"JP","webOSTV 6.0","lm21a","65","app5","2022-12","1766","11926.0","9297.621388888889","6.384238310708899","4.949281281422825"
"JP","webOSTV 6.0","lm21u","55","app5","2022-5","1051","7625.0","6455.926388888889","6.784695817490494","5.648607546472329"
"AU","webOSTV 6.0","e60F20","75","app1","2022-4","37","254.0","325.6661111111111","6.675675675675675","8.681696696696696"
"AU","webOSTV 6.0","k7lp","43","app5","2022-12","54","128.0","10.634722222222223","2.3055555555555554","0.1963477366255144"
"JP","webOSTV 6.0","lm21a","75","app1","2022-7","388","5283.0","5935.9825","12.4463058419244","13.812380798969077"
"KR","webOSTV 6.0","k7lp","55","app4","2022-10","142","2709.0","4437.090277777777","15.02230046948357","24.554556272822115"
"KR","webOSTV 6.0","lm21u","75","app3","2022-6","316","634.0","271.7752777777778","2.0","0.859998241912799"
"AU","webOSTV 6.0","lm21a","75","app3","2022-1","34","80.0","34.25666666666667","2.3529411764705883","1.007549019607843"
"JP","webOSTV 6.0","o20","65","app5","2022-6","936","7711.0","6929.86","7.6122376378512975","6.7203125123522645"
"JP","webOSTV 6.0","lm21u","75","app5","2022-6","100","644.0","512.5869444444445","6.095","4.707009722222222"
"KR","webOSTV 6.0","e60F20","75","app4","2022-4","69","1185.0","1294.7494444444444","15.157142857142857","15.867607142857144"
"JP","webOSTV 6.0","lm21u","55","app1","2022-1","17","82.0","52.17","4.823529411764706","3.0688235294117647"
"KR","webOSTV 6.0","lm21u","65","app1","2022-2","55","70.0","1.5877777777777777","1.2727272727272727","0.028868686868686867"
"KR","webOSTV 6.0","k7lp","55","app1","2022-4","8","28.0","0.7494444444444445","3.5","0.09368055555555554"
"KR","webOSTV 6.0","k7lp","65","app5","2022-4","6","57.0","27.588333333333335","9.5","4.598055555555555"
"AU","webOSTV 6.0","lm21a","55","app2","2022-6","18903","448826.0","614003.6777777778","18.86350884321328","25.412927902915737"
"AU","webOSTV 6.0","lm21a","65","app1","2022-6","11425","84697.0","93850.7375","6.839203629494892","7.424289387736125"
"KR","webOSTV 6.0","lm21a","75","app5","2022-4","8764","38516.0","27887.048333333332","4.1610794374762445","2.944217096372313"
"KR","webOSTV 6.0","lm21a","55","app4","2022-8","10266","176012.0","258230.54555555555","14.434829282769686","20.516070484393104"
"AU","webOSTV 6.0","lm21u","65","app2","2022-12","8666","266770.0","340106.3641666667","24.02622207047345","30.251979458919664"
"AU","webOSTV 6.0","o20","55","app1","2022-6","9074","65105.0","71745.03277777777","6.637357352632683","7.159072142609491"
"JP","webOSTV 6.0","lm21u","55","app1","2022-4","2126","28424.0","29672.980555555554","12.333020050125311","12.733016199352546"
"JP","webOSTV 6.0","o20","65","app4","2022-8","3112","100402.0","122772.47444444445","26.89965768078733","32.11247884277089"
"KR","webOSTV 6.0","lm21u","65","app1","2022-7","5136","8252.0","1890.0416666666667","1.5910683012259195","0.3608097662753237"
"AU","webOSTV 6.0","lm21u","75","app1","2022-7","2233","19192.0","21635.411111111112","7.929299030574199","8.807284508865692"
"JP","webOSTV 6.0","lm21u","55","app3","2022-12","375","849.0","436.6738888888889","2.1449468085106385","1.0656464243498815"
"JP","webOSTV 6.0","k7lp","55","app4","2022-11","501","17858.0","20907.37361111111","29.62687957418496","34.17763500776224"
"AU","webOSTV 6.0","lm21a","65","app1","2022-2","80","190.0","80.23388888888888","2.24375","0.9628940972222223"
"AU","webOSTV 6.0","lm21u","75","app3","2022-8","882","3373.0","2857.9366666666665","3.6109491415613864","3.069515291125267"
"JP","webOSTV 6.0","lm21u","65","app5","2022-8","485","3989.0","4043.0605555555558","7.965979381443299","8.102961912943869"
"AU","webOSTV 6.0","lm21a","65","app4","2022-1","105","536.0","409.58166666666665","4.466666666666667","3.284002645502645"
"KR","webOSTV 6.0","lm21a","43","app1","2022-3","14","21.0","2.9627777777777777","1.4","0.1975185185185185"
"AU","webOSTV 6.0","k7lp","75","app4","2022-8","19","592.0","1185.4788888888888","29.473684210526315","60.42071637426901"
"KR","webOSTV 6.0","e60F20","75","app1","2022-9","15","28.0","3.841666666666667","1.8666666666666667","0.25611111111111107"
"KR","webOSTV 6.0","k7lp","65","app3","2022-11","5","11.0","0.4311111111111111","2.2","0.08622222222222223"
"AU","webOSTV 6.0","k7lp","75","app3","2022-11","1","2.0","0.6511111111111111","2.0","0.6511111111111111"
"KR","webOSTV 6.0","lm21u","55","app4","2022-9","28858","561331.0","752655.0380555555","16.116830844688085","21.00681209651825"
"AU","webOSTV 6.0","lm21u","75","app1","2022-6","2214","17502.0","18207.465277777777","7.289937130548042","7.4296845482110445"
"KR","webOSTV 6.0","o20","65","app2","2022-5","24585","523162.0","641648.2947222223","18.097305446020844","21.87641996324752"
"AU","webOSTV 6.0","lm21a","55","app4","2022-7","14319","310720.0","458150.92083333334","17.50428625944748","25.3081527082766"
"KR","webOSTV 6.0","lm21u","75","app4","2022-5","2638","48693.0","57494.18","15.827842988766879","18.297034600389857"
"JP","webOSTV 6.0","o20","55","app5","2022-8","1997","16353.0","16392.325277777778","7.647740536935134","7.511538222815109"
"JP","webOSTV 6.0","lm21a","65","app1","2022-10","2403","32275.0","32293.874444444446","12.297794626782993","12.085751410815677"
"JP","webOSTV 6.0","lm21u","75","app4","2022-4","241","6598.0","8599.971944444444","23.953665283540804","29.219905870600893"
"KR","webOSTV 6.0","lm21a","75","app3","2022-9","1897","3305.0","1364.5944444444444","1.7149745747852008","0.6956689218150292"
"JP","webOSTV 6.0","o20","55","app1","2022-5","3919","48253.0","50209.02444444445","11.36749086583397","11.629247080371218"
"JP","webOSTV 6.0","o20","65","app2","2022-7","2101","56462.0","67089.67194444445","22.810688836104518","26.86125074777865"
"AU","webOSTV 6.0","lm21a","43","app1","2022-12","3480","21432.0","29285.019722222223","5.370278412098292","7.139676020126015"
"AU","webOSTV 6.0","lm21a","43","app3","2022-12","1821","6498.0","6752.318611111111","3.285460228952815","3.34230920598713"
"KR","webOSTV 6.0","e60F20","75","app2","2022-4","64","1212.0","1349.5419444444444","16.7578125","18.48880425347222"
"KR","webOSTV 6.0","lm21u","75","app3","2022-8","265","523.0","276.58472222222224","1.930188679245283","0.9501823899371068"
"JP","webOSTV 6.0","lm21a","65","app3","2022-10","122","212.0","92.44083333333333","1.7254098360655739","0.7260769581056465"
"KR","webOSTV 6.0","e60F20","75","app5","2022-5","42","182.0","108.58694444444444","4.333333333333333","2.585403439153439"
"JP","webOSTV 6.0","k7lp","55","app4","2022-5","186","5041.0","5726.433888888889","23.13978494623656","26.28624054161689"
"JP","webOSTV 6.0","e60F20","55","app1","2022-9","10","73.0","100.62472222222222","6.5","7.286055555555555"
"JP","webOSTV 6.0","lm21a","65","app5","2022-3","19","45.0","4.4719444444444445","2.026315789473684","0.21451023391812865"
"AU","webOSTV 6.0","k7lp","55","app3","2022-8","15","27.0","3.6958333333333333","1.8","0.24638888888888888"
"KR","webOSTV 6.0","e60F20","75","app3","2022-4","16","39.0","18.933055555555555","2.21875","1.1538107638888888"
"JP","webOSTV 6.0","o20","65","app1","2022-3","20","68.0","39.618611111111115","3.4","1.9809305555555548"
"JP","webOSTV 6.0","k7lp","55","app3","2022-5","7","8.0","0.16972222222222222","1.1428571428571428","0.024246031746031745"
"AU","webOSTV 6.0","k7lp","65","app3","2022-6","6","6.0","0.03944444444444444","1.0","0.006574074074074073"
"JP","webOSTV 6.0","e60F20","55","app3","2022-9","1","1.0","0.0033333333333333335","1.0","0.0033333333333333335"
"AU","webOSTV 6.0","o20","55","app2","2022-6","16010","377379.0","476891.4888888889","19.17381546668063","23.886904819398357"
"KR","webOSTV 6.0","lm21u","65","app1","2022-6","6146","10330.0","2411.168611111111","1.6512195121951219","0.3840741418247517"
"KR","webOSTV 6.0","lm21u","65","app4","2022-5","40861","782556.0","969800.2488888889","16.255418110797436","19.623418564546967"
"JP","webOSTV 6.0","o20","65","app4","2022-7","2875","95750.0","111953.75555555556","27.820250086835706","31.734137255091134"
"AU","webOSTV 6.0","lm21a","65","app5","2022-5","13729","152068.0","199181.385","10.210527550066754","13.174136610534857"
"AU","webOSTV 6.0","o20","55","app3","2022-10","3781","17257.0","16369.069166666666","4.17156273321091","3.88636846031187"
"KR","webOSTV 6.0","lm21a","55","app2","2022-12","11481","213323.0","296744.465","15.862039697048832","21.63132073213197"
"AU","webOSTV 6.0","lm21a","65","app2","2022-3","141","660.0","475.89444444444445","4.124113475177305","2.862751182033096"
"JP","webOSTV 6.0","lm21u","55","app5","2022-9","1688","13733.0","13773.4025","7.634573734987202","7.542775672157687"
"KR","webOSTV 6.0","lm21a","65","app2","2022-4","13150","235605.0","294603.3636111111","15.432464142719585","19.006250010206724"
"JP","webOSTV 6.0","lm21u","65","app1","2022-11","1373","17350.0","17315.5025","11.663316338917213","11.524631221170187"
"AU","webOSTV 6.0","o20","55","app2","2022-2","157","815.0","598.0","4.89171974522293","3.5141507430997856"
"AU","webOSTV 6.0","o20","55","app4","2022-2","110","478.0","360.46666666666664","4.109090909090909","3.105854797979797"
"JP","webOSTV 6.0","k7lp","55","app2","2022-6","182","3016.0","3276.5380555555557","14.630036630036631","15.744409086284085"
"JP","webOSTV 6.0","lm21u","65","app5","2022-6","349","3014.0","2782.105","7.86676217765043","7.106219754855143"
"JP","webOSTV 6.0","lm21u","55","app2","2022-3","34","145.0","69.7025","4.161764705882353","1.9418995098039213"
"KR","webOSTV 6.0","lm21a","43","app1","2022-1","42","50.0","2.328888888888889","1.1904761904761905","0.05544973544973546"
"AU","webOSTV 6.0","lm21a","55","app3","2022-3","24","30.0","10.435","1.25","0.4347916666666667"
"JP","webOSTV 6.0","lm21u","65","app3","2022-11","99","241.0","127.87","2.323232323232323","1.2208466610549948"
"AU","webOSTV 6.0","e60F20","65","app3","2022-6","16","27.0","13.264444444444445","1.6875","0.8290277777777779"
"KR","webOSTV 6.0","k7lp","75","app5","2022-9","10","64.0","77.8463888888889","5.45","6.883430555555556"
"JP","webOSTV 6.0","lm21u","55","app4","2022-3","53","291.0","183.67027777777778","5.150943396226415","3.126551362683438"
"AU","webOSTV 6.0","e60F20","75","app1","2022-7","42","325.0","352.3016666666667","7.5773809523809526","8.380957341269843"
"KR","webOSTV 6.0","e60F20","65","app3","2022-8","3","4.0","0.4436111111111111","1.3333333333333333","0.14787037037037037"
"AU","webOSTV 6.0","k7lp","43","app2","2022-10","66","575.0","646.9686111111112","6.69949494949495","6.327799523007857"
"AU","webOSTV 6.0","e60F20","65","app1","2022-8","34","226.0","318.1411111111111","6.647058823529412","9.357091503267975"
"JP","webOSTV 6.0","k7lp","55","app4","2022-1","3","9.0","6.083333333333333","3.0","2.0277777777777777"
"KR","webOSTV 6.0","k7lp","75","app5","2022-5","4","12.0","2.07","3.0","0.5175"
"AU","webOSTV 6.0","lm21u","75","app1","2022-2","13","34.0","29.641944444444444","2.6153846153846154","2.280149572649573"
"AU","webOSTV 6.0","k7lp","75","app1","2022-4","6","21.0","14.248055555555556","3.5","2.374675925925926"
"KR","webOSTV 6.0","k7lp","75","app3","2022-4","1","1.0","0.06861111111111111","1.0","0.06861111111111111"
"KR","webOSTV 6.0","e60F20","75","app2","2022-3","1","13.0","1.738888888888889","13.0","1.738888888888889"
"AU","webOSTV 6.0","k7lp","65","app3","2022-2","1","3.0","0.04388888888888889","3.0","0.04388888888888889"
"AU","webOSTV 6.0","o20","65","app5","2022-6","16209","168795.0","192801.55694444446","9.516638748441377","10.702303379237597"
"AU","webOSTV 6.0","lm21a","75","app5","2022-5","12136","134178.0","171066.51805555556","10.126692454142667","12.668240957587436"
"JP","webOSTV 6.0","o20","55","app2","2022-9","4347","95678.0","111524.20611111111","18.790585533869116","21.64291329676405"
"KR","webOSTV 6.0","lm21a","75","app5","2022-9","10181","44648.0","38055.29305555556","4.173098439493572","3.515249038541928"
"AU","webOSTV 6.0","o20","55","app2","2022-11","15078","364787.0","451546.86833333335","19.366450031805588","23.467683795090082"
"AU","webOSTV 6.0","lm21a","75","app1","2022-9","11238","84066.0","96657.92944444444","6.674719691918857","7.450759535565057"
"JP","webOSTV 6.0","lm21u","55","app2","2022-5","2028","42465.0","50726.69055555556","18.233218447398652","21.473962311030874"
"AU","webOSTV 6.0","lm21a","65","app2","2022-12","21353","633666.0","848995.7766666666","23.555651902098692","31.273095805176297"
"JP","webOSTV 6.0","o20","65","app2","2022-5","1671","42035.0","52748.41444444445","21.417264752791066","26.47428152135389"
"KR","webOSTV 6.0","lm21u","65","app3","2022-4","5970","16321.0","10954.646111111111","2.6805323066622027","1.7734455169933911"
"AU","webOSTV 6.0","lm21a","43","app3","2022-7","1929","6896.0","7477.856111111111","3.280466069268558","3.231016521877169"
"AU","webOSTV 6.0","o20","55","app4","2022-12","11706","234920.0","299671.61055555556","15.823286815594681","19.901801526168526"
"JP","webOSTV 6.0","k7lp","55","app4","2022-10","470","17579.0","20334.893888888888","31.815248226950352","35.6791304176517"
"AU","webOSTV 6.0","lm21u","55","app5","2022-6","2930","27691.0","34926.35083333333","8.384727226496144","10.416679752542416"
"JP","webOSTV 6.0","lm21a","65","app4","2022-9","2514","83229.0","105949.14583333333","27.328978024887476","34.20009602712322"
"KR","webOSTV 6.0","o20","55","app4","2022-1","76","370.0","200.3875","4.815789473684211","2.6221801900584794"
"KR","webOSTV 6.0","k7lp","55","app2","2022-11","155","2130.0","3321.1180555555557","11.894623655913977","17.926513440860212"
"KR","webOSTV 6.0","e60F20","75","app4","2022-12","151","2715.0","3643.1775","14.926535087719296","19.588726547270948"
"JP","webOSTV 6.0","lm21a","75","app2","2022-7","389","10003.0","11411.2925","21.804627249357328","24.51308090545558"
"JP","webOSTV 6.0","lm21a","43","app3","2022-11","164","328.0","160.76527777777778","1.9695121951219512","0.9636339769647695"
"JP","webOSTV 6.0","k7lp","55","app2","2022-4","95","2087.0","2644.2794444444444","19.3","23.260782163742686"
"AU","webOSTV 6.0","o20","65","app5","2022-2","85","318.0","173.1963888888889","3.4823529411764707","1.825045751633987"
"AU","webOSTV 6.0","lm21a","55","app2","2022-3","126","488.0","352.2275","3.6984126984126986","2.563869047619047"
"KR","webOSTV 6.0","k7lp","43","app5","2022-9","20","59.0","37.67444444444445","2.95","1.8837222222222216"
"JP","webOSTV 6.0","lm21a","75","app1","2022-8","394","5889.0","6975.1947222222225","14.058375634517766","16.642218697123518"
"JP","webOSTV 6.0","lm21a","43","app3","2022-9","164","319.0","164.49166666666667","1.899390243902439","0.9627642276422765"
"KR","webOSTV 6.0","lm21u","75","app1","2022-4","314","457.0","32.77194444444444","1.4554140127388535","0.10436924982307147"
"AU","webOSTV 6.0","k7lp","75","app2","2022-5","13","265.0","392.80583333333334","18.346153846153847","26.161314102564102"
