,country,date,product_category,product_subcategory,product_detail_page,add_to_cart,sales_amt,sales_usd
0,au,20220101,HE,TV,4485,17,10,398.96
1,au,20220102,HA,Refrigerator,3419,20,2,1212.33
2,au,20220102,HE,TV,4676,14,3,113.99
3,au,20220103,HA,Cooking_Appliance,546,3,2,279.17
4,au,20220103,HA,Refrigerator,3691,7,5,106.26
5,au,20220103,HE,Audio_CAV,1413,7,2,385.43
6,au,20220103,HE,TV,4965,27,9,5806.63
7,au,20220104,HA,Dishwasher,398,3,2,1013.33
8,au,20220104,HA,Refrigerator,3666,20,9,2937.61
9,au,20220104,HA,Washer,1347,3,2,864.57
10,au,20220104,HA,Washer_Dryer,338,3,2,288.83
11,au,20220104,HE,Audio_CAV,1349,5,2,1689.53
12,au,20220104,HE,TV,5035,62,14,3088.3
13,au,20220105,HA,Dishwasher,462,3,3,1775.51
14,au,20220105,HA,Refrigerator,3799,19,13,167.12
15,au,20220105,HE,TV,4762,65,13,5387.38
16,au,20220106,HA,Dryer,209,0,2,1399.73
17,au,20220106,HA,Refrigerator,3898,13,13,2263.34
18,au,20220106,HA,Washer,1473,3,2,864.57
19,au,20220106,HE,Audio_CAV,1174,14,2,190.3
20,au,20220106,HE,TV,4438,49,14,18160.8
21,au,20220107,HE,Audio_CAV,1231,12,2,93.7
22,au,20220107,HE,TV,4406,33,10,7688.39
23,au,20220108,HA,Cooking_Appliance,600,7,2,254.06
24,au,20220108,HA,Dishwasher,362,3,2,819.17
25,au,20220108,HA,Refrigerator,3139,2,2,53.13
26,au,20220108,HE,Audio_CAV,1147,7,2,696.49
27,au,20220108,HE,TV,4497,23,7,3972.19
28,au,20220109,HA,Dishwasher,315,2,2,819.17
29,au,20220109,HA,Refrigerator,3121,6,6,592.16
30,au,20220109,HE,TV,4228,21,12,5941.87
31,au,20220110,HA,Cooking_Appliance,588,3,2,221.21
32,au,20220110,HA,Refrigerator,3187,9,3,539.03
33,au,20220110,HA,Washer,1616,9,3,1479.91
34,au,20220110,HE,Audio_CAV,1116,26,2,182.57
35,au,20220110,HE,TV,3862,21,7,1588.1
36,au,20220111,HA,Dishwasher,376,5,3,1796.76
37,au,20220111,HA,Refrigerator,3397,14,7,2254.64
38,au,20220111,HE,Audio_CAV,994,26,3,325.54
39,au,20220111,HE,TV,4028,37,9,6561.07
40,au,20220112,HA,Dishwasher,391,0,2,969.86
41,au,20220112,HA,Refrigerator,3080,6,3,113.99
42,au,20220112,HA,Washer,1501,5,2,977.59
43,au,20220112,HE,TV,4003,28,6,919.63
44,au,20220113,HA,Dishwasher,412,6,2,861.67
45,au,20220113,HA,Dryer,149,2,2,867.47
46,au,20220113,HA,Refrigerator,3097,13,7,2335.79
47,au,20220113,HA,Washer,1561,3,2,864.57
48,au,20220113,HE,Audio_CAV,1015,10,3,365.15
49,au,20220113,HE,TV,4140,33,7,2893.17
50,au,20220114,HA,Dishwasher,353,3,2,590.23
51,au,20220114,HA,Refrigerator,3313,5,2,53.13
52,au,20220114,HE,Audio_CAV,973,13,2,61.82
53,au,20220114,HE,TV,4205,31,12,7406.32
54,au,20220115,HA,Cooking_Appliance,619,5,2,385.43
55,au,20220115,HA,Refrigerator,3362,6,5,113.99
56,au,20220115,HA,Vacuum_Cleaner,903,3,2,482.03
57,au,20220115,HE,TV,4626,14,10,398.96
58,au,20220116,BS,Monitor,951,2,2,588.29
59,au,20220116,HA,Cooking_Appliance,590,3,3,586.36
60,au,20220116,HA,Refrigerator,3020,5,6,1348.54
61,au,20220116,HA,Washer,1521,5,2,773.77
62,au,20220116,HE,Audio_CAV,1091,6,2,1016.23
63,au,20220116,HE,TV,4741,23,13,4775.9
64,au,20220117,HA,Dishwasher,331,2,2,966.97
65,au,20220117,HA,Dryer,198,3,3,2018.94
66,au,20220117,HA,Refrigerator,3356,5,2,1638.34
67,au,20220117,HA,Washer_Dryer,149,2,2,288.83
68,au,20220117,HE,Audio_CAV,1060,7,2,696.49
69,au,20220117,HE,TV,4266,45,12,5439.55
70,au,20220118,HA,Refrigerator,3267,13,2,2005.42
71,au,20220118,HA,Vacuum_Cleaner,752,2,2,809.51
72,au,20220118,HA,Washer,1570,3,2,2477.79
73,au,20220118,HE,TV,4468,47,7,2816.86
74,au,20220119,HA,Cooking_Appliance,602,3,3,493.63
75,au,20220119,HA,Refrigerator,3135,7,5,3235.13
76,au,20220119,HE,Audio_CAV,1168,5,3,1908.82
77,au,20220119,HE,TV,4140,49,5,4308.36
78,au,20220120,HA,Dryer,209,2,2,1147.61
79,au,20220120,HA,Refrigerator,3425,37,9,2722.19
80,au,20220120,HE,Audio_CAV,1137,16,2,957.31
81,au,20220120,HE,TV,8517,675,93,10016.45
82,au,20220121,HA,Cooking_Appliance,507,2,2,182.57
83,au,20220121,HA,Refrigerator,3149,14,7,2875.78
84,au,20220121,HA,Vacuum_Cleaner,657,2,2,531.3
85,au,20220121,HE,TV,4237,26,6,14391.47
86,au,20220122,HA,Cooking_Appliance,629,2,2,182.57
87,au,20220122,HA,Refrigerator,3299,6,5,110.12
88,au,20220122,HA,Vacuum_Cleaner,868,5,2,502.32
89,au,20220122,HE,TV,4310,21,2,1662.49
90,au,20220123,HA,Refrigerator,3082,10,2,56.99
91,au,20220123,HE,TV,4244,17,3,5782.48
92,au,20220124,HA,Refrigerator,3523,31,2,1206.53
93,au,20220124,HA,Washer,1494,5,2,560.28
94,au,20220125,HA,Cooking_Appliance,565,6,2,230.87
95,au,20220125,HA,Refrigerator,3430,7,3,56.99
96,au,20220125,HA,Vacuum_Cleaner,721,6,5,1858.58
97,au,20220125,HE,TV,3773,31,6,8381.02
98,au,20220126,HA,Cooking_Appliance,565,9,2,268.55
99,au,20220126,HA,Refrigerator,3237,10,3,106.26
100,au,20220126,HA,Washer_Dryer,152,3,2,288.83
101,au,20220126,HE,TV,4458,34,2,932.19
102,au,20220127,HA,Cooking_Appliance,545,2,2,182.57
103,au,20220127,HA,Dishwasher,427,3,2,1592.93
104,au,20220127,HA,Refrigerator,3394,19,3,56.99
105,au,20220127,HA,Washer,1379,3,2,864.57
106,au,20220127,HE,TV,4121,52,6,6078.07
107,au,20220128,HA,Cooking_Appliance,562,3,2,268.55
108,au,20220128,HA,Refrigerator,3101,12,6,4611.68
109,au,20220128,HE,TV,4052,31,5,5362.27
110,au,20220129,HE,Audio_CAV,989,2,2,288.83
111,au,20220130,HA,Cooking_Appliance,590,3,2,182.57
112,au,20220130,HE,TV,4255,58,3,3628.3
113,au,20220131,HA,Dishwasher,437,3,3,1432.58
114,au,20220131,HA,Refrigerator,3370,24,13,4496.73
115,au,20220131,HE,Audio_CAV,931,5,2,418.28
116,au,20220131,HE,TV,3939,37,5,3564.54
117,au,20220201,HA,Refrigerator,3106,16,3,2583.08
118,au,20220201,HA,Vacuum_Cleaner,591,2,2,455.95
119,au,20220201,HA,Washer,1487,5,2,864.57
120,au,20220201,HE,TV,3506,24,5,7214.09
121,au,20220202,HE,TV,3927,91,13,4012.76
122,au,20220203,HA,Refrigerator,3045,6,2,53.13
123,au,20220203,HA,Vacuum_Cleaner,574,2,2,502.32
124,au,20220203,HE,Audio_CAV,905,20,2,744.79
125,au,20220203,HE,TV,3734,86,9,6697.28
126,au,20220204,HA,Dishwasher,357,3,2,1013.33
127,au,20220204,HA,Washer,1512,12,6,9072.67
128,au,20220204,HE,TV,3675,54,6,1515.65
129,au,20220205,HA,Refrigerator,3052,2,2,710.98
130,au,20220205,HA,Washer,1676,6,2,621.14
131,au,20220205,HE,TV,4023,33,10,398.96
132,au,20220206,BS,Monitor,1227,3,2,502.32
133,au,20220206,HA,Refrigerator,3008,9,2,56.99
134,au,20220206,HE,TV,3975,26,10,341.96
135,au,20220207,HA,Cooking_Appliance,609,13,2,284.97
136,au,20220207,HA,Dryer,215,3,2,1034.59
137,au,20220207,HA,Refrigerator,3044,6,3,4524.74
138,au,20220207,HA,Washer,1675,6,2,917.7
139,au,20220207,HE,TV,3664,42,14,9120.01
140,au,20220208,HA,Dryer,247,2,2,1219.09
141,au,20220208,HA,Refrigerator,3507,13,6,9827.12
142,au,20220208,HA,Washer,1666,3,2,917.7
143,au,20220208,HE,TV,3629,52,12,2987.84
144,au,20220209,BS,IT_Monitor,402,7,3,2499.04
145,au,20220209,HA,Cooking_Appliance,747,3,3,775.7
146,au,20220209,HA,Dryer,153,2,2,1098.34
147,au,20220209,HA,Refrigerator,3589,9,5,2458.47
148,au,20220209,HA,Washer,1666,12,5,3225.47
149,au,20220209,HE,TV,3590,40,12,3169.45
150,au,20220210,BS,IT_Monitor,580,20,3,2704.8
151,au,20220210,HA,Cooking_Appliance,819,5,3,631.76
152,au,20220210,HA,Dryer,272,6,3,2820.72
153,au,20220210,HA,Refrigerator,3575,20,12,8647.63
154,au,20220210,HA,Vacuum_Cleaner,528,3,2,806.61
155,au,20220210,HA,Washer,1682,5,2,528.4
156,au,20220210,HE,TV,3453,34,9,1107.04
157,au,20220211,BS,IT_Monitor,803,23,6,5409.6
158,au,20220211,HA,Dishwasher,367,3,2,925.43
159,au,20220211,HA,Refrigerator,3328,13,5,4403.03
160,au,20220211,HA,Vacuum_Cleaner,577,2,3,689.72
161,au,20220211,HA,Washer,1619,5,3,1027.82
162,au,20220211,HE,TV,3432,33,14,6591.02
163,au,20220212,BS,IT_Monitor,940,26,3,2704.8
164,au,20220212,HA,Refrigerator,3657,5,3,110.12
165,au,20220212,HE,TV,4083,23,7,5243.45
166,au,20220213,HA,Dishwasher,492,3,2,969.86
167,au,20220213,HA,Refrigerator,3439,5,7,110.12
168,au,20220213,HA,Washer,1882,6,3,1693.4
169,au,20220213,HE,TV,3926,40,7,284.97
170,au,20220214,BS,IT_Monitor,752,19,3,2704.8
171,au,20220214,BS,Monitor,1120,7,6,1368.82
172,au,20220214,HA,Cooking_Appliance,829,7,2,385.43
173,au,20220214,HA,Dryer,199,5,2,1034.59
174,au,20220214,HA,Refrigerator,3675,14,9,7888.36
175,au,20220214,HA,Washer,1580,10,6,5134.29
176,au,20220214,HE,TV,3671,59,16,1249.04
177,au,20220215,BS,Monitor,1071,10,2,502.32
178,au,20220215,HA,Dishwasher,490,3,2,724.5
179,au,20220215,HA,Dryer,199,0,2,1090.61
180,au,20220215,HA,Refrigerator,3694,17,5,2330.96
181,au,20220215,HA,Vacuum_Cleaner,576,6,2,531.3
182,au,20220215,HA,Washer,1672,6,3,1700.16
183,au,20220215,HA,Washer_Dryer,182,3,2,2220.83
184,au,20220215,HE,Audio_CAV,1746,68,2,839.45
185,au,20220215,HE,TV,3491,61,3,113.99
186,au,20220216,BS,IT_Monitor,677,16,5,2704.8
187,au,20220216,BS,Monitor,1210,7,2,344.86
188,au,20220216,HA,Dishwasher,352,5,2,969.86
189,au,20220216,HA,Refrigerator,3492,14,2,56.99
190,au,20220216,HA,Vacuum_Cleaner,531,5,2,730.3
191,au,20220216,HA,Washer,1745,21,12,7451.72
192,au,20220216,HE,TV,3681,55,14,8524.95
193,au,20220217,BS,IT_Monitor,712,16,3,2704.8
194,au,20220217,BS,Monitor,1094,6,3,1117.66
195,au,20220217,HA,Cooking_Appliance,776,6,2,218.32
196,au,20220217,HA,Dishwasher,436,5,2,724.5
197,au,20220217,HA,Dryer,187,0,2,1098.34
198,au,20220217,HA,Vacuum_Cleaner,514,10,6,2843.9
199,au,20220217,HA,Washer,1678,12,5,2087.53
200,au,20220217,HE,Audio_CAV,1570,42,9,2273.96
201,au,20220217,HE,TV,3873,70,5,4820.34
202,au,20220218,BS,IT_Laptop,398,7,2,1931.03
203,au,20220218,BS,IT_Monitor,621,13,2,1352.4
204,au,20220218,HA,Dishwasher,441,3,2,969.86
205,au,20220218,HA,Refrigerator,3253,24,6,3337.53
206,au,20220218,HA,Vacuum_Cleaner,545,3,2,622.1
207,au,20220218,HE,Audio_CAV,1358,48,7,2574.39
208,au,20220218,HE,TV,3489,28,7,2523.19
209,au,20220219,HA,Cooking_Appliance,706,7,2,482.03
210,au,20220219,HA,Dryer,250,3,2,1034.59
211,au,20220219,HA,Refrigerator,3552,17,9,3305.65
212,au,20220219,HA,Vacuum_Cleaner,650,6,2,771.83
213,au,20220219,HA,Washer,1917,20,6,3554.88
214,au,20220219,HE,TV,4171,37,6,4565.32
215,au,20220220,BS,IT_Laptop,443,9,2,1931.03
216,au,20220220,BS,IT_Monitor,630,20,5,3069.95
217,au,20220220,BS,Monitor,980,10,2,743.82
218,au,20220220,HA,Cooking_Appliance,640,12,2,284.97
219,au,20220220,HA,Dryer,192,3,2,1399.73
220,au,20220220,HA,Refrigerator,3751,7,5,3516.24
221,au,20220220,HA,Washer,1906,9,2,857.81
222,au,20220220,HE,TV,4028,42,10,11102.24
223,au,20220221,BS,IT_Monitor,770,14,3,2028.6
224,au,20220221,HA,Dishwasher,433,3,3,1834.43
225,au,20220221,HA,Refrigerator,3787,20,5,7036.34
226,au,20220221,HA,Vacuum_Cleaner,751,12,3,1192.04
227,au,20220221,HA,Washer,2023,17,7,6869.23
228,au,20220221,HE,TV,3950,65,10,4934.33
229,au,20220222,BS,IT_Monitor,787,14,5,2028.6
230,au,20220222,BS,Monitor,1025,3,2,405.72
231,au,20220222,HA,Dishwasher,504,6,3,1696.3
232,au,20220222,HA,Refrigerator,3583,27,7,7006.4
233,au,20220222,HA,Vacuum_Cleaner,654,12,2,588.29
234,au,20220222,HA,Washer,1710,10,2,519.71
235,au,20220222,HA,Washer_Dryer,153,2,2,2220.83
236,au,20220222,HE,TV,3748,65,14,827.86
237,au,20220223,BS,IT_Monitor,738,13,5,2965.62
238,au,20220223,HA,Refrigerator,3556,16,7,5957.32
239,au,20220223,HA,Vacuum_Cleaner,581,9,2,588.29
240,au,20220223,HA,Washer,1715,14,3,1580.38
241,au,20220223,HE,Audio_CAV,1055,23,2,839.45
242,au,20220223,HE,TV,3708,48,12,7826.53
243,au,20220224,HA,Dryer,272,3,2,1147.61
244,au,20220224,HA,Refrigerator,3250,17,6,6208.48
245,au,20220224,HA,Vacuum_Cleaner,607,6,2,531.3
246,au,20220224,HA,Washer,1526,13,2,808.54
247,au,20220224,HA,Washer_Dryer,202,6,2,1339.84
248,au,20220224,HE,TV,3283,45,14,1552.36
249,au,20220225,BS,IT_Monitor,714,13,2,1352.4
250,au,20220225,HA,Dryer,247,3,2,1219.09
251,au,20220225,HA,Refrigerator,3229,20,5,5199.98
252,au,20220225,HA,Washer,1917,5,2,739.96
253,au,20220225,HE,TV,3334,41,12,4143.17
254,au,20220226,HA,Dishwasher,338,2,2,653.02
255,au,20220226,HA,Refrigerator,3342,9,2,2110.71
256,au,20220226,HA,Vacuum_Cleaner,527,3,2,689.72
257,au,20220226,HE,TV,4129,30,13,2459.44
258,au,20220227,BS,IT_Laptop,385,9,2,1448.03
259,au,20220227,BS,Monitor,920,2,2,405.72
260,au,20220227,HA,Dryer,397,6,2,1786.13
261,au,20220227,HA,Refrigerator,3432,13,2,2110.71
262,au,20220227,HA,Washer,2176,12,3,1313.76
263,au,20220227,HE,Audio_CAV,922,6,2,288.83
264,au,20220227,HE,TV,4157,42,16,8989.6
265,au,20220228,BS,IT_Monitor,621,13,7,6085.8
266,au,20220228,HA,Cooking_Appliance,695,5,2,414.41
267,au,20220228,HA,Dryer,390,3,2,1147.61
268,au,20220228,HA,Refrigerator,3611,10,5,2765.66
269,au,20220228,HA,Vacuum_Cleaner,691,2,3,1090.61
270,au,20220228,HA,Washer,2177,9,5,2528.02
271,au,20220228,HA,Washer_Dryer,168,6,2,1260.63
272,au,20220228,HE,Audio_CAV,745,14,3,1514.69
273,au,20220228,HE,TV,3703,47,13,1800.62
274,au,20220301,HA,Dryer,397,6,2,1147.61
275,au,20220301,HA,Refrigerator,3437,13,5,2560.87
276,au,20220301,HA,Washer,1997,26,9,8974.14
277,au,20220301,HA,Washer_Dryer,243,5,2,1260.63
278,au,20220301,HE,Audio_CAV,966,9,3,1147.61
279,au,20220301,HE,TV,3524,63,20,4855.12
